state,district,block,year,recharge_mm,extraction_mcm,stage_percent,category
Delhi,New Delhi,Block-2,2020,184,250,135.87,Over-Exploited
Delhi,New Delhi,Block-3,2020,219,211,96.35,Critical
Delhi,New Delhi,Block-1,2021,115,80,69.57,Safe
Delhi,New Delhi,Block-2,2021,165,126,76.36,Semi-Critical
Delhi,New Delhi,Block-3,2021,108,171,158.33,Over-Exploited
Delhi,New Delhi,Block-1,2022,250,265,106.0,Over-Exploited
Delhi,New Delhi,Block-2,2022,199,254,127.64,Over-Exploited
Delhi,New Delhi,Block-3,2022,248,267,107.66,Over-Exploited
Delhi,Dwarka,Block-1,2000,207,213,102.9,Over-Exploited
Delhi,Dwarka,Block-2,2000,149,89,59.73,Safe
Delhi,Dwarka,Block-3,2000,147,220,149.66,Over-Exploited
Delhi,Dwarka,Block-1,2001,105,110,104.76,Over-Exploited
Delhi,Dwarka,Block-2,2001,107,102,95.33,Critical
Delhi,Dwarka,Block-3,2001,115,213,185.22,Over-Exploited
Delhi,Dwarka,Block-1,2002,245,213,86.94,Semi-Critical
Delhi,Dwarka,Block-2,2002,147,148,100.68,Over-Exploited
Delhi,Dwarka,Block-3,2002,189,230,121.69,Over-Exploited
Delhi,Dwarka,Block-1,2003,204,236,115.69,Over-Exploited
Delhi,Dwarka,Block-2,2003,137,247,180.29,Over-Exploited
Delhi,Dwarka,Block-3,2003,217,249,114.75,Over-Exploited
Delhi,Dwarka,Block-1,2004,242,244,100.83,Over-Exploited
Delhi,Dwarka,Block-2,2004,146,190,130.14,Over-Exploited
Delhi,Dwarka,Block-3,2004,153,197,128.76,Over-Exploited
Delhi,Dwarka,Block-1,2005,180,167,92.78,Critical
Delhi,Dwarka,Block-2,2005,132,89,67.42,Safe
Delhi,Dwarka,Block-3,2005,136,83,61.03,Safe
Delhi,Dwarka,Block-1,2006,234,269,114.96,Over-Exploited
Delhi,Dwarka,Block-2,2006,216,122,56.48,Safe
Delhi,Dwarka,Block-3,2006,221,88,39.82,Safe
Delhi,Dwarka,Block-1,2007,151,181,119.87,Over-Exploited
Delhi,Dwarka,Block-2,2007,151,266,176.16,Over-Exploited
Delhi,Dwarka,Block-3,2007,141,91,64.54,Safe
Delhi,Dwarka,Block-1,2008,236,181,76.69,Semi-Critical
Delhi,Dwarka,Block-2,2008,109,167,153.21,Over-Exploited
Delhi,Dwarka,Block-3,2008,137,247,180.29,Over-Exploited
Delhi,Dwarka,Block-1,2009,113,194,171.68,Over-Exploited
Delhi,Dwarka,Block-2,2009,173,80,46.24,Safe
Delhi,Dwarka,Block-3,2009,155,177,114.19,Over-Exploited
Delhi,Dwarka,Block-1,2010,220,204,92.73,Critical
Delhi,Dwarka,Block-2,2010,213,166,77.93,Semi-Critical
Delhi,Dwarka,Block-3,2010,232,268,115.52,Over-Exploited
Delhi,Dwarka,Block-1,2011,162,166,102.47,Over-Exploited
Delhi,Dwarka,Block-2,2011,120,83,69.17,Safe
Delhi,Dwarka,Block-3,2011,185,169,91.35,Critical
Delhi,Dwarka,Block-1,2012,144,166,115.28,Over-Exploited
Delhi,Dwarka,Block-2,2012,204,160,78.43,Semi-Critical
Delhi,Dwarka,Block-3,2012,238,244,102.52,Over-Exploited
Delhi,Dwarka,Block-1,2013,145,93,64.14,Safe
Delhi,Dwarka,Block-2,2013,164,258,157.32,Over-Exploited
Delhi,Dwarka,Block-3,2013,149,253,169.8,Over-Exploited
Delhi,Dwarka,Block-1,2014,108,254,235.19,Over-Exploited
Delhi,Dwarka,Block-2,2014,221,209,94.57,Critical
Delhi,Dwarka,Block-3,2014,195,140,71.79,Semi-Critical
Delhi,Dwarka,Block-1,2015,116,101,87.07,Semi-Critical
Delhi,Dwarka,Block-2,2015,178,242,135.96,Over-Exploited
Delhi,Dwarka,Block-3,2015,200,118,59.0,Safe
Delhi,Dwarka,Block-1,2016,140,131,93.57,Critical
Delhi,Dwarka,Block-2,2016,102,257,251.96,Over-Exploited
Delhi,Dwarka,Block-3,2016,193,125,64.77,Safe
Delhi,Dwarka,Block-1,2017,138,208,150.72,Over-Exploited
Delhi,Dwarka,Block-2,2017,151,236,156.29,Over-Exploited
Delhi,Dwarka,Block-3,2017,158,126,79.75,Semi-Critical
Delhi,Dwarka,Block-1,2018,116,123,106.03,Over-Exploited
Delhi,Dwarka,Block-2,2018,119,252,211.76,Over-Exploited
Delhi,Dwarka,Block-3,2018,145,109,75.17,Semi-Critical
Delhi,Dwarka,Block-1,2019,155,135,87.1,Semi-Critical
Delhi,Dwarka,Block-2,2019,162,245,151.23,Over-Exploited
Delhi,Dwarka,Block-3,2019,154,160,103.9,Over-Exploited
Delhi,Dwarka,Block-1,2020,187,190,101.6,Over-Exploited
Delhi,Dwarka,Block-2,2020,104,117,112.5,Over-Exploited
Delhi,Dwarka,Block-3,2020,109,147,134.86,Over-Exploited
Delhi,Dwarka,Block-1,2021,247,113,45.75,Safe
Delhi,Dwarka,Block-2,2021,111,260,234.23,Over-Exploited
Delhi,Dwarka,Block-3,2021,187,114,60.96,Safe
Delhi,Dwarka,Block-1,2022,193,145,75.13,Semi-Critical
Delhi,Dwarka,Block-2,2022,105,131,124.76,Over-Exploited
Delhi,Dwarka,Block-3,2022,219,207,94.52,Critical
Delhi,Rohini,Block-1,2000,181,119,65.75,Safe
Delhi,Rohini,Block-2,2000,130,196,150.77,Over-Exploited
Delhi,Rohini,Block-3,2000,155,208,134.19,Over-Exploited
Delhi,Rohini,Block-1,2001,195,267,136.92,Over-Exploited
Delhi,Rohini,Block-2,2001,201,146,72.64,Semi-Critical
Delhi,Rohini,Block-3,2001,212,195,91.98,Critical
Delhi,Rohini,Block-1,2002,147,95,64.63,Safe
Delhi,Rohini,Block-2,2002,144,196,136.11,Over-Exploited
Delhi,Rohini,Block-3,2002,176,131,74.43,Semi-Critical
Delhi,Rohini,Block-1,2003,115,187,162.61,Over-Exploited
Delhi,Rohini,Block-2,2003,179,143,79.89,Semi-Critical
Delhi,Rohini,Block-3,2003,164,233,142.07,Over-Exploited
Delhi,Rohini,Block-1,2004,237,207,87.34,Semi-Critical
Delhi,Rohini,Block-2,2004,199,150,75.38,Semi-Critical
Delhi,Rohini,Block-3,2004,214,225,105.14,Over-Exploited
Delhi,Rohini,Block-1,2005,155,220,141.94,Over-Exploited
Delhi,Rohini,Block-2,2005,188,246,130.85,Over-Exploited
Delhi,Rohini,Block-3,2005,111,96,86.49,Semi-Critical
Delhi,Rohini,Block-1,2006,101,194,192.08,Over-Exploited
Delhi,Rohini,Block-2,2006,244,175,71.72,Semi-Critical
Delhi,Rohini,Block-3,2006,173,90,52.02,Safe
Delhi,Rohini,Block-1,2007,130,192,147.69,Over-Exploited
Delhi,Rohini,Block-2,2007,155,254,163.87,Over-Exploited
Delhi,Rohini,Block-3,2007,233,262,112.45,Over-Exploited
Delhi,Rohini,Block-1,2008,236,132,55.93,Safe
Delhi,Rohini,Block-2,2008,184,114,61.96,Safe
Delhi,Rohini,Block-3,2008,169,200,118.34,Over-Exploited
Delhi,Rohini,Block-1,2009,159,170,106.92,Over-Exploited
Delhi,Rohini,Block-2,2009,118,142,120.34,Over-Exploited
Delhi,Rohini,Block-3,2009,236,240,101.69,Over-Exploited
Delhi,Rohini,Block-1,2010,135,169,125.19,Over-Exploited
Delhi,Rohini,Block-2,2010,144,218,151.39,Over-Exploited
Delhi,Rohini,Block-3,2010,192,142,73.96,Semi-Critical
Delhi,Rohini,Block-1,2011,221,105,47.51,Safe
Delhi,Rohini,Block-2,2011,229,269,117.47,Over-Exploited
Delhi,Rohini,Block-3,2011,241,176,73.03,Semi-Critical
Delhi,Rohini,Block-1,2012,144,127,88.19,Semi-Critical
Delhi,Rohini,Block-2,2012,137,91,66.42,Safe
Delhi,Rohini,Block-3,2012,108,162,150.0,Over-Exploited
Delhi,Rohini,Block-1,2013,212,145,68.4,Safe
Delhi,Rohini,Block-2,2013,198,232,117.17,Over-Exploited
Delhi,Rohini,Block-3,2013,142,155,109.15,Over-Exploited
Delhi,Rohini,Block-1,2014,135,126,93.33,Critical
Delhi,Rohini,Block-2,2014,220,205,93.18,Critical
Delhi,Rohini,Block-3,2014,103,146,141.75,Over-Exploited
Delhi,Rohini,Block-1,2015,232,189,81.47,Semi-Critical
Delhi,Rohini,Block-2,2015,206,95,46.12,Safe
Delhi,Rohini,Block-3,2015,147,247,168.03,Over-Exploited
Delhi,Rohini,Block-1,2016,154,129,83.77,Semi-Critical
Delhi,Rohini,Block-2,2016,128,222,173.44,Over-Exploited
Delhi,Rohini,Block-3,2016,141,196,139.01,Over-Exploited
Delhi,Rohini,Block-1,2017,231,155,67.1,Safe
Delhi,Rohini,Block-2,2017,152,212,139.47,Over-Exploited
Delhi,Rohini,Block-3,2017,227,192,84.58,Semi-Critical
Delhi,Rohini,Block-1,2018,219,265,121.0,Over-Exploited
Delhi,Rohini,Block-2,2018,198,241,121.72,Over-Exploited
Delhi,Rohini,Block-3,2018,146,153,104.79,Over-Exploited
Delhi,Rohini,Block-1,2019,141,169,119.86,Over-Exploited
Delhi,Rohini,Block-2,2019,137,101,73.72,Semi-Critical
Delhi,Rohini,Block-3,2019,192,218,113.54,Over-Exploited
Delhi,Rohini,Block-1,2020,149,106,71.14,Semi-Critical
Delhi,Rohini,Block-2,2020,186,209,112.37,Over-Exploited
Delhi,Rohini,Block-3,2020,206,164,79.61,Semi-Critical
Delhi,Rohini,Block-1,2021,244,81,33.2,Safe
Delhi,Rohini,Block-2,2021,160,128,80.0,Semi-Critical
Delhi,Rohini,Block-3,2021,175,231,132.0,Over-Exploited
Delhi,Rohini,Block-1,2022,249,81,32.53,Safe
Delhi,Rohini,Block-2,2022,164,190,115.85,Over-Exploited
Delhi,Rohini,Block-3,2022,154,191,124.03,Over-Exploited
Goa,North Goa,Block-1,2000,180,137,76.11,Semi-Critical
Goa,North Goa,Block-2,2000,177,115,64.97,Safe
Goa,North Goa,Block-3,2000,121,127,104.96,Over-Exploited
Goa,North Goa,Block-1,2001,215,150,69.77,Safe
Goa,North Goa,Block-2,2001,149,144,96.64,Critical
Goa,North Goa,Block-3,2001,139,215,154.68,Over-Exploited
Goa,North Goa,Block-1,2002,204,228,111.76,Over-Exploited
Goa,North Goa,Block-2,2002,188,126,67.02,Safe
Goa,North Goa,Block-3,2002,210,223,106.19,Over-Exploited
Goa,North Goa,Block-1,2003,234,159,67.95,Safe
Goa,North Goa,Block-2,2003,118,216,183.05,Over-Exploited
Goa,North Goa,Block-3,2003,137,190,138.69,Over-Exploited
Goa,North Goa,Block-1,2004,148,174,117.57,Over-Exploited
Goa,North Goa,Block-2,2004,228,237,103.95,Over-Exploited
Goa,North Goa,Block-3,2004,111,134,120.72,Over-Exploited
Goa,North Goa,Block-1,2005,240,204,85.0,Semi-Critical
Goa,North Goa,Block-2,2005,220,229,104.09,Over-Exploited
Goa,North Goa,Block-3,2005,118,233,197.46,Over-Exploited
Goa,North Goa,Block-1,2006,243,260,107.0,Over-Exploited
Goa,North Goa,Block-2,2006,229,213,93.01,Critical
Goa,North Goa,Block-3,2006,181,208,114.92,Over-Exploited
Goa,North Goa,Block-1,2007,107,201,187.85,Over-Exploited
Goa,North Goa,Block-2,2007,206,221,107.28,Over-Exploited
Goa,North Goa,Block-3,2007,163,86,52.76,Safe
Goa,North Goa,Block-1,2008,203,103,50.74,Safe
Goa,North Goa,Block-2,2008,205,128,62.44,Safe
Goa,North Goa,Block-3,2008,177,269,151.98,Over-Exploited
Goa,North Goa,Block-1,2009,114,89,78.07,Semi-Critical
Goa,North Goa,Block-2,2009,180,259,143.89,Over-Exploited
Goa,North Goa,Block-3,2009,200,151,75.5,Semi-Critical
Goa,North Goa,Block-1,2010,177,110,62.15,Safe
Goa,North Goa,Block-2,2010,126,152,120.63,Over-Exploited
Goa,North Goa,Block-3,2010,153,158,103.27,Over-Exploited
Goa,North Goa,Block-1,2011,122,260,213.11,Over-Exploited
Goa,North Goa,Block-2,2011,108,109,100.93,Over-Exploited
Goa,North Goa,Block-3,2011,196,131,66.84,Safe
Goa,North Goa,Block-1,2012,195,150,76.92,Semi-Critical
Goa,North Goa,Block-2,2012,231,97,41.99,Safe
Goa,North Goa,Block-3,2012,212,223,105.19,Over-Exploited
Goa,North Goa,Block-1,2013,239,132,55.23,Safe
Goa,North Goa,Block-2,2013,135,237,175.56,Over-Exploited
Goa,North Goa,Block-3,2013,207,103,49.76,Safe
Goa,North Goa,Block-1,2014,173,183,105.78,Over-Exploited
Goa,North Goa,Block-2,2014,205,102,49.76,Safe
Goa,North Goa,Block-3,2014,102,251,246.08,Over-Exploited
Goa,North Goa,Block-1,2015,162,116,71.6,Semi-Critical
Goa,North Goa,Block-2,2015,186,111,59.68,Safe
Goa,North Goa,Block-3,2015,248,262,105.65,Over-Exploited
Goa,North Goa,Block-1,2016,181,124,68.51,Safe
Goa,North Goa,Block-2,2016,112,131,116.96,Over-Exploited
Goa,North Goa,Block-3,2016,117,100,85.47,Semi-Critical
Goa,North Goa,Block-1,2017,116,104,89.66,Semi-Critical
Goa,North Goa,Block-2,2017,225,138,61.33,Safe
Goa,North Goa,Block-3,2017,196,94,47.96,Safe
Goa,North Goa,Block-1,2018,201,204,101.49,Over-Exploited
Goa,North Goa,Block-2,2018,127,180,141.73,Over-Exploited
Goa,North Goa,Block-3,2018,237,256,108.02,Over-Exploited
Goa,North Goa,Block-1,2019,166,90,54.22,Safe
Goa,North Goa,Block-2,2019,103,265,257.28,Over-Exploited
Goa,North Goa,Block-3,2019,146,187,128.08,Over-Exploited
Goa,North Goa,Block-1,2020,248,269,108.47,Over-Exploited
Goa,North Goa,Block-2,2020,152,111,73.03,Semi-Critical
Goa,North Goa,Block-3,2020,228,148,64.91,Safe
Goa,North Goa,Block-1,2021,155,172,110.97,Over-Exploited
Goa,North Goa,Block-2,2021,142,239,168.31,Over-Exploited
Goa,North Goa,Block-3,2021,175,92,52.57,Safe
Goa,North Goa,Block-1,2022,160,122,76.25,Semi-Critical
Goa,North Goa,Block-2,2022,222,248,111.71,Over-Exploited
Goa,North Goa,Block-3,2022,155,268,172.9,Over-Exploited
Goa,South Goa,Block-1,2000,101,124,122.77,Over-Exploited
Goa,South Goa,Block-2,2000,162,104,64.2,Safe
Goa,South Goa,Block-3,2000,102,174,170.59,Over-Exploited
Goa,South Goa,Block-1,2001,189,256,135.45,Over-Exploited
Goa,South Goa,Block-2,2001,194,112,57.73,Safe
Goa,South Goa,Block-3,2001,121,167,138.02,Over-Exploited
Goa,South Goa,Block-1,2002,122,152,124.59,Over-Exploited
Goa,South Goa,Block-2,2002,220,184,83.64,Semi-Critical
Goa,South Goa,Block-3,2002,164,187,114.02,Over-Exploited
Goa,South Goa,Block-1,2003,185,267,144.32,Over-Exploited
Goa,South Goa,Block-2,2003,146,244,167.12,Over-Exploited
Goa,South Goa,Block-3,2003,188,270,143.62,Over-Exploited
Goa,South Goa,Block-1,2004,176,187,106.25,Over-Exploited
Goa,South Goa,Block-2,2004,202,216,106.93,Over-Exploited
Goa,South Goa,Block-3,2004,205,120,58.54,Safe
Goa,South Goa,Block-1,2005,128,251,196.09,Over-Exploited
Goa,South Goa,Block-2,2005,217,224,103.23,Over-Exploited
Goa,South Goa,Block-3,2005,240,93,38.75,Safe
Goa,South Goa,Block-1,2006,220,248,112.73,Over-Exploited
Goa,South Goa,Block-2,2006,141,270,191.49,Over-Exploited
Goa,South Goa,Block-3,2006,216,258,119.44,Over-Exploited
Goa,South Goa,Block-1,2007,207,91,43.96,Safe
Goa,South Goa,Block-2,2007,103,223,216.5,Over-Exploited
Goa,South Goa,Block-3,2007,164,194,118.29,Over-Exploited
Goa,South Goa,Block-1,2008,212,195,91.98,Critical
Goa,South Goa,Block-2,2008,240,188,78.33,Semi-Critical
Goa,South Goa,Block-3,2008,214,116,54.21,Safe
Goa,South Goa,Block-1,2009,197,193,97.97,Critical
Goa,South Goa,Block-2,2009,189,83,43.92,Safe
Goa,South Goa,Block-3,2009,103,102,99.03,Critical
Goa,South Goa,Block-1,2010,149,219,146.98,Over-Exploited
Goa,South Goa,Block-2,2010,218,152,69.72,Safe
Goa,South Goa,Block-3,2010,161,138,85.71,Semi-Critical
Goa,South Goa,Block-1,2011,186,237,127.42,Over-Exploited
Goa,South Goa,Block-2,2011,147,146,99.32,Critical
Goa,South Goa,Block-3,2011,165,106,64.24,Safe
Goa,South Goa,Block-1,2012,211,81,38.39,Safe
Goa,South Goa,Block-2,2012,207,170,82.13,Semi-Critical
Goa,South Goa,Block-3,2012,214,137,64.02,Safe
Goa,South Goa,Block-1,2013,210,179,85.24,Semi-Critical
Goa,South Goa,Block-2,2013,222,153,68.92,Safe
Goa,South Goa,Block-3,2013,167,213,127.54,Over-Exploited
Goa,South Goa,Block-1,2014,183,196,107.1,Over-Exploited
Goa,South Goa,Block-2,2014,106,251,236.79,Over-Exploited
Goa,South Goa,Block-3,2014,162,247,152.47,Over-Exploited
Goa,South Goa,Block-1,2015,159,115,72.33,Semi-Critical
Goa,South Goa,Block-2,2015,162,219,135.19,Over-Exploited
Goa,South Goa,Block-3,2015,203,120,59.11,Safe
Goa,South Goa,Block-1,2016,183,109,59.56,Safe
Goa,South Goa,Block-2,2016,209,127,60.77,Safe
Goa,South Goa,Block-3,2016,243,101,41.56,Safe
Goa,South Goa,Block-1,2017,155,261,168.39,Over-Exploited
Goa,South Goa,Block-2,2017,140,166,118.57,Over-Exploited
Goa,South Goa,Block-3,2017,224,184,82.14,Semi-Critical
Goa,South Goa,Block-1,2018,222,212,95.5,Critical
Goa,South Goa,Block-2,2018,231,153,66.23,Safe
Goa,South Goa,Block-3,2018,150,83,55.33,Safe
Goa,South Goa,Block-1,2019,204,135,66.18,Safe
Goa,South Goa,Block-2,2019,133,158,118.8,Over-Exploited
Goa,South Goa,Block-3,2019,111,133,119.82,Over-Exploited
Goa,South Goa,Block-1,2020,143,156,109.09,Over-Exploited
Goa,South Goa,Block-2,2020,144,139,96.53,Critical
Goa,South Goa,Block-3,2020,121,189,156.2,Over-Exploited
Goa,South Goa,Block-1,2021,136,223,163.97,Over-Exploited
Goa,South Goa,Block-2,2021,132,126,95.45,Critical
Goa,South Goa,Block-3,2021,218,250,114.68,Over-Exploited
Goa,South Goa,Block-1,2022,148,205,138.51,Over-Exploited
Goa,South Goa,Block-2,2022,107,144,134.58,Over-Exploited
Goa,South Goa,Block-3,2022,165,260,157.58,Over-Exploited
Gujarat,Ahmedabad,Block-1,2000,130,164,126.15,Over-Exploited
Gujarat,Ahmedabad,Block-2,2000,134,118,88.06,Semi-Critical
Gujarat,Ahmedabad,Block-3,2000,144,110,76.39,Semi-Critical
Gujarat,Ahmedabad,Block-1,2001,176,188,106.82,Over-Exploited
Gujarat,Ahmedabad,Block-2,2001,183,115,62.84,Safe
Gujarat,Ahmedabad,Block-3,2001,161,176,109.32,Over-Exploited
Gujarat,Ahmedabad,Block-1,2002,249,80,32.13,Safe
Gujarat,Ahmedabad,Block-2,2002,214,226,105.61,Over-Exploited
Gujarat,Ahmedabad,Block-3,2002,149,201,134.9,Over-Exploited
Gujarat,Ahmedabad,Block-1,2003,221,196,88.69,Semi-Critical
Gujarat,Ahmedabad,Block-2,2003,156,240,153.85,Over-Exploited
Gujarat,Ahmedabad,Block-3,2003,137,106,77.37,Semi-Critical
Gujarat,Ahmedabad,Block-1,2004,119,140,117.65,Over-Exploited
Gujarat,Ahmedabad,Block-2,2004,171,110,64.33,Safe
Gujarat,Ahmedabad,Block-3,2004,129,198,153.49,Over-Exploited
Gujarat,Ahmedabad,Block-1,2005,247,238,96.36,Critical
Gujarat,Ahmedabad,Block-2,2005,111,257,231.53,Over-Exploited
Gujarat,Ahmedabad,Block-3,2005,175,127,72.57,Semi-Critical
Gujarat,Ahmedabad,Block-1,2006,120,257,214.17,Over-Exploited
Gujarat,Ahmedabad,Block-2,2006,131,224,170.99,Over-Exploited
Gujarat,Ahmedabad,Block-3,2006,206,121,58.74,Safe
Gujarat,Ahmedabad,Block-1,2007,149,100,67.11,Safe
Gujarat,Ahmedabad,Block-2,2007,136,131,96.32,Critical
Gujarat,Ahmedabad,Block-3,2007,146,122,83.56,Semi-Critical
Gujarat,Ahmedabad,Block-1,2008,139,237,170.5,Over-Exploited
Gujarat,Ahmedabad,Block-2,2008,157,205,130.57,Over-Exploited
Gujarat,Ahmedabad,Block-3,2008,133,111,83.46,Semi-Critical
Gujarat,Ahmedabad,Block-1,2009,190,116,61.05,Safe
Gujarat,Ahmedabad,Block-2,2009,196,210,107.14,Over-Exploited
Gujarat,Ahmedabad,Block-3,2009,165,133,80.61,Semi-Critical
Gujarat,Ahmedabad,Block-1,2010,137,147,107.3,Over-Exploited
Gujarat,Ahmedabad,Block-2,2010,205,147,71.71,Semi-Critical
Gujarat,Ahmedabad,Block-3,2010,127,270,212.6,Over-Exploited
Gujarat,Ahmedabad,Block-1,2011,223,130,58.3,Safe
Gujarat,Ahmedabad,Block-2,2011,230,144,62.61,Safe
Gujarat,Ahmedabad,Block-3,2011,220,154,70.0,Semi-Critical
Gujarat,Ahmedabad,Block-1,2012,166,188,113.25,Over-Exploited
Gujarat,Ahmedabad,Block-2,2012,199,154,77.39,Semi-Critical
Gujarat,Ahmedabad,Block-3,2012,190,164,86.32,Semi-Critical
Gujarat,Ahmedabad,Block-1,2013,207,129,62.32,Safe
Gujarat,Ahmedabad,Block-2,2013,225,168,74.67,Semi-Critical
Gujarat,Ahmedabad,Block-3,2013,247,185,74.9,Semi-Critical
Gujarat,Ahmedabad,Block-1,2014,232,111,47.84,Safe
Gujarat,Ahmedabad,Block-2,2014,176,181,102.84,Over-Exploited
Gujarat,Ahmedabad,Block-3,2014,106,109,102.83,Over-Exploited
Gujarat,Ahmedabad,Block-1,2015,223,173,77.58,Semi-Critical
Gujarat,Ahmedabad,Block-2,2015,144,128,88.89,Semi-Critical
Gujarat,Ahmedabad,Block-3,2015,200,128,64.0,Safe
Gujarat,Ahmedabad,Block-1,2016,222,237,106.76,Over-Exploited
Gujarat,Ahmedabad,Block-2,2016,112,202,180.36,Over-Exploited
Gujarat,Ahmedabad,Block-3,2016,180,254,141.11,Over-Exploited
Gujarat,Ahmedabad,Block-1,2017,117,197,168.38,Over-Exploited
Gujarat,Ahmedabad,Block-2,2017,179,242,135.2,Over-Exploited
Gujarat,Ahmedabad,Block-3,2017,154,126,81.82,Semi-Critical
Gujarat,Ahmedabad,Block-1,2018,221,268,121.27,Over-Exploited
Gujarat,Ahmedabad,Block-2,2018,216,258,119.44,Over-Exploited
Gujarat,Ahmedabad,Block-3,2018,175,154,88.0,Semi-Critical
Gujarat,Ahmedabad,Block-1,2019,157,237,150.96,Over-Exploited
Gujarat,Ahmedabad,Block-2,2019,173,105,60.69,Safe
Gujarat,Ahmedabad,Block-3,2019,180,170,94.44,Critical
Gujarat,Ahmedabad,Block-1,2020,241,235,97.51,Critical
Gujarat,Ahmedabad,Block-2,2020,145,87,60.0,Safe
Gujarat,Ahmedabad,Block-3,2020,212,191,90.09,Critical
Gujarat,Ahmedabad,Block-1,2021,171,137,80.12,Semi-Critical
Gujarat,Ahmedabad,Block-2,2021,133,164,123.31,Over-Exploited
Gujarat,Ahmedabad,Block-3,2021,194,172,88.66,Semi-Critical
Gujarat,Ahmedabad,Block-1,2022,227,114,50.22,Safe
Gujarat,Ahmedabad,Block-2,2022,107,179,167.29,Over-Exploited
Gujarat,Ahmedabad,Block-3,2022,159,121,76.1,Semi-Critical
Gujarat,Surat,Block-1,2000,209,217,103.83,Over-Exploited
Gujarat,Surat,Block-2,2000,126,188,149.21,Over-Exploited
Gujarat,Surat,Block-3,2000,178,167,93.82,Critical
Gujarat,Surat,Block-1,2001,222,116,52.25,Safe
Gujarat,Surat,Block-2,2001,168,105,62.5,Safe
Gujarat,Surat,Block-3,2001,148,247,166.89,Over-Exploited
Gujarat,Surat,Block-1,2002,236,255,108.05,Over-Exploited
Gujarat,Surat,Block-2,2002,175,209,119.43,Over-Exploited
Gujarat,Surat,Block-3,2002,214,200,93.46,Critical
Gujarat,Surat,Block-1,2003,187,92,49.2,Safe
Gujarat,Surat,Block-2,2003,242,89,36.78,Safe
Gujarat,Surat,Block-3,2003,145,167,115.17,Over-Exploited
Gujarat,Surat,Block-1,2004,174,183,105.17,Over-Exploited
Gujarat,Surat,Block-2,2004,123,219,178.05,Over-Exploited
Gujarat,Surat,Block-3,2004,110,188,170.91,Over-Exploited
Gujarat,Surat,Block-1,2005,132,243,184.09,Over-Exploited
Gujarat,Surat,Block-2,2005,147,104,70.75,Semi-Critical
Gujarat,Surat,Block-3,2005,206,212,102.91,Over-Exploited
Gujarat,Surat,Block-1,2006,192,102,53.12,Safe
Gujarat,Surat,Block-2,2006,179,188,105.03,Over-Exploited
Gujarat,Surat,Block-3,2006,168,245,145.83,Over-Exploited
Gujarat,Surat,Block-1,2007,109,253,232.11,Over-Exploited
Gujarat,Surat,Block-2,2007,189,263,139.15,Over-Exploited
Gujarat,Surat,Block-3,2007,188,206,109.57,Over-Exploited
Gujarat,Surat,Block-1,2008,245,238,97.14,Critical
Gujarat,Surat,Block-2,2008,188,133,70.74,Semi-Critical
Gujarat,Surat,Block-3,2008,248,268,108.06,Over-Exploited
Gujarat,Surat,Block-1,2009,190,123,64.74,Safe
Gujarat,Surat,Block-2,2009,147,234,159.18,Over-Exploited
Gujarat,Surat,Block-3,2009,237,140,59.07,Safe
Gujarat,Surat,Block-1,2010,221,161,72.85,Semi-Critical
Gujarat,Surat,Block-2,2010,139,195,140.29,Over-Exploited
Gujarat,Surat,Block-3,2010,240,241,100.42,Over-Exploited
Gujarat,Surat,Block-1,2011,193,188,97.41,Critical
Gujarat,Surat,Block-2,2011,125,148,118.4,Over-Exploited
Gujarat,Surat,Block-3,2011,195,192,98.46,Critical
Gujarat,Surat,Block-1,2012,196,221,112.76,Over-Exploited
Gujarat,Surat,Block-2,2012,161,215,133.54,Over-Exploited
Gujarat,Surat,Block-3,2012,181,113,62.43,Safe
Gujarat,Surat,Block-1,2013,147,126,85.71,Semi-Critical
Gujarat,Surat,Block-2,2013,124,228,183.87,Over-Exploited
Gujarat,Surat,Block-3,2013,111,212,190.99,Over-Exploited
Gujarat,Surat,Block-1,2014,173,131,75.72,Semi-Critical
Gujarat,Surat,Block-2,2014,206,108,52.43,Safe
Gujarat,Surat,Block-3,2014,191,261,136.65,Over-Exploited
Gujarat,Surat,Block-1,2015,201,187,93.03,Critical
Gujarat,Surat,Block-2,2015,137,81,59.12,Safe
Gujarat,Surat,Block-3,2015,141,177,125.53,Over-Exploited
Gujarat,Surat,Block-1,2016,234,215,91.88,Critical
Gujarat,Surat,Block-2,2016,124,114,91.94,Critical
Gujarat,Surat,Block-3,2016,107,175,163.55,Over-Exploited
Gujarat,Surat,Block-1,2017,184,170,92.39,Critical
Gujarat,Surat,Block-2,2017,217,222,102.3,Over-Exploited
Gujarat,Surat,Block-3,2017,152,177,116.45,Over-Exploited
Gujarat,Surat,Block-1,2018,183,211,115.3,Over-Exploited
Gujarat,Surat,Block-2,2018,121,233,192.56,Over-Exploited
Gujarat,Surat,Block-3,2018,242,130,53.72,Safe
Gujarat,Surat,Block-1,2019,208,99,47.6,Safe
Gujarat,Surat,Block-2,2019,129,209,162.02,Over-Exploited
Gujarat,Surat,Block-3,2019,147,268,182.31,Over-Exploited
Gujarat,Surat,Block-1,2020,226,254,112.39,Over-Exploited
Gujarat,Surat,Block-2,2020,196,99,50.51,Safe
Gujarat,Surat,Block-3,2020,159,136,85.53,Semi-Critical
Gujarat,Surat,Block-1,2021,146,139,95.21,Critical
Gujarat,Surat,Block-2,2021,246,163,66.26,Safe
Gujarat,Surat,Block-3,2021,149,82,55.03,Safe
